Ace-Spades,Queen-Clubs,9-Hearts,5-Diamonds,5-Hearts,0.75,0.5,false
Jack-Clubs,Queen-Hearts,3-Hearts,King-Clubs,Queen-Clubs,0.4,0.5,true
King-Diamonds,10-Hearts,7-Spades,Queen-Diamonds,4-Clubs,0.3,0.75,0.7,0.5,false
9-Hearts,Ace-Clubs,2-Hearts,Queen-Diamonds,5-Spades,0.9,0.1,false
Queen-Spades,Queen-Clubs,6-Clubs,3-Hearts,2-Spades,0.3,0.7,true
9-Diamonds,Ace-Clubs,King-Diamonds,Jack-Diamonds,10-Spades,0.3,0.7,true
Jack-Clubs,7-Hearts,10-Clubs,King-Diamonds,King-Clubs,0.3,0.4,0.7,0.2,false
Queen-Diamonds,Ace-Hearts,8-Clubs,10-Hearts,Ace-Diamonds,0.3,0.7,true
8-Clubs,King-Spades,7-Spades,Queen-Diamonds,5-Spades,0.3,0.4,0.75,0.7,0.2,0.5,false
King-Clubs,9-Spades,10-Hearts,8-Clubs,7-Spades,0.3,0.4,0.4,0.7,0.5,0.2,false
Ace-Hearts,10-Diamonds,9-Diamonds,2-Spades,Ace-Spades,0.3,0.7,true
8-Spades,Ace-Spades,King-Spades,Ace-Hearts,Queen-Spades,0.3,0.7,true
Queen-Clubs,Queen-Spades,7-Spades,2-Spades,9-Spades,0.3,0.4,0.4,0.75,0.7,0.5,0.2,0.5,false
Jack-Hearts,Ace-Diamonds,6-Spades,Queen-Hearts,9-Spades,0.3,0.7,false
King-Hearts,Jack-Diamonds,10-Spades,8-Diamonds,7-Spades,0.3,0.4,0.7,0.5,false
Queen-Diamonds,10-Spades,Queen-Clubs,5-Clubs,2-Diamonds,0.4,0.4,0.5,0.2,false
5-Diamonds,King-Spades,7-Clubs,Jack-Clubs,8-Hearts,0.3,0.4,0.75,0.7,0.5,0.5,false
Jack-Diamonds,King-Clubs,8-Spades,4-Clubs,5-Hearts,0.3,0.7,false
Jack-Spades,King-Spades,5-Clubs,9-Hearts,Ace-Spades,0.3,0.4,0.7,0.5,false
Jack-Diamonds,8-Hearts,5-Hearts,Queen-Spades,Ace-Clubs,0.3,0.75,0.7,0.5,false
Jack-Hearts,10-Hearts,Ace-Clubs,King-Hearts,5-Diamonds,0.3,0.7,true
4-Hearts,4-Spades,2-Spades,Queen-Clubs,King-Spades,0.3,0.4,0.7,0.5,false
Ace-Diamonds,2-Diamonds,4-Spades,4-Hearts,Queen-Hearts,0.3,0.7,false
5-Hearts,Ace-Hearts,King-Spades,3-Clubs,2-Hearts,0.3,0.4,0.7,0.5,false
Queen-Clubs,King-Clubs,4-Spades,Ace-Hearts,Ace-Diamonds,0.3,0.7,true
8-Spades,8-Hearts,8-Diamonds,9-Hearts,7-Hearts,0.3,0.4,0.7,0.5,true
Ace-Hearts,10-Spades,Jack-Diamonds,Ace-Diamonds,3-Clubs,0.3,0.7,true
Jack-Hearts,5-Hearts,Ace-Clubs,2-Hearts,2-Spades,0.3,0.7,false
6-Diamonds,King-Diamonds,8-Diamonds,4-Spades,King-Hearts,0.3,0.7,false
8-Spades,9-Spades,7-Clubs,Jack-Hearts,3-Hearts,0.4,0.5,false
6-Spades,Queen-Spades,4-Diamonds,6-Diamonds,7-Clubs,0.3,0.7,true
9-Hearts,Ace-Hearts,10-Hearts,Ace-Spades,Queen-Clubs,0.4,0.5,false
Ace-Clubs,Jack-Clubs,8-Diamonds,Queen-Diamonds,King-Hearts,0.3,0.7,false
King-Diamonds,Jack-Clubs,4-Hearts,6-Clubs,4-Spades,0.3,0.7,true
Queen-Hearts,10-Clubs,8-Diamonds,6-Hearts,9-Spades,0.3,0.4,0.7,0.5,true
5-Spades,Ace-Spades,Queen-Diamonds,4-Hearts,10-Hearts,0.3,0.7,false
9-Diamonds,King-Hearts,King-Diamonds,4-Spades,Queen-Spades,0.3,0.4,0.7,0.5,false
Queen-Diamonds,10-Diamonds,4-Hearts,5-Clubs,2-Clubs,0.4,0.5,true
King-Diamonds,5-Diamonds,2-Spades,Queen-Clubs,10-Diamonds,0.3,0.7,false
Queen-Hearts,Ace-Spades,9-Diamonds,8-Clubs,Jack-Spades,0.3,0.4,0.7,0.5,true
King-Clubs,5-Spades,5-Clubs,King-Hearts,3-Clubs,0.3,0.4,0.9,0.7,0.5,0.1,true
King-Hearts,10-Diamonds,3-Spades,6-Clubs,Jack-Hearts,0.3,0.7,true
Jack-Clubs,Queen-Spades,Jack-Diamonds,Ace-Spades,Ace-Hearts,0.9,0.1,false
Jack-Hearts,10-Hearts,Queen-Diamonds,5-Diamonds,Queen-Hearts,0.3,0.4,0.7,0.5,false
4-Clubs,King-Diamonds,Ace-Diamonds,7-Hearts,3-Spades,0.3,0.4,0.7,0.5,false
10-Diamonds,Queen-Spades,9-Hearts,King-Spades,2-Clubs,0.3,0.7,false
Queen-Clubs,8-Clubs,4-Hearts,Ace-Clubs,4-Spades,0.3,0.7,true
King-Clubs,7-Clubs,Queen-Hearts,6-Diamonds,3-Spades,0.3,0.7,false
5-Diamonds,Queen-Diamonds,8-Diamonds,7-Clubs,6-Spades,0.3,0.7,false
Jack-Hearts,5-Hearts,King-Hearts,King-Spades,6-Hearts,0.3,0.4,0.7,0.5,true
3-Hearts,Ace-Diamonds,10-Diamonds,5-Clubs,6-Hearts,0.3,0.4,0.7,0.5,false
Ace-Clubs,Queen-Hearts,Jack-Clubs,2-Hearts,7-Spades,0.3,0.7,true
Ace-Clubs,8-Diamonds,3-Diamonds,8-Hearts,King-Diamonds,0.3,0.7,true
Queen-Clubs,Ace-Clubs,9-Diamonds,5-Diamonds,9-Spades,0.3,0.4,0.7,0.5,false
9-Hearts,Queen-Hearts,King-Diamonds,10-Hearts,7-Spades,0.3,0.4,0.7,0.5,false
Jack-Clubs,5-Clubs,King-Spades,4-Spades,Queen-Clubs,0.4,0.5,false
Jack-Spades,Queen-Diamonds,2-Hearts,8-Hearts,King-Diamonds,0.4,0.2,false
Ace-Clubs,10-Clubs,5-Diamonds,Queen-Diamonds,2-Hearts,0.4,0.2,true
10-Spades,Queen-Diamonds,2-Clubs,King-Spades,Jack-Diamonds,0.4,0.2,true
Queen-Clubs,7-Clubs,2-Spades,2-Diamonds,Jack-Spades,0.3,0.7,false
Ace-Clubs,9-Spades,Jack-Hearts,9-Diamonds,8-Hearts,0.3,0.4,0.7,0.2,false
4-Spades,Ace-Spades,Ace-Diamonds,5-Clubs,9-Hearts,0.3,0.7,true
Queen-Clubs,Jack-Diamonds,Queen-Hearts,7-Spades,10-Clubs,0.3,0.7,true
Ace-Hearts,6-Spades,Queen-Diamonds,8-Spades,10-Diamonds,0.3,0.4,0.7,0.2,false
King-Hearts,Queen-Hearts,7-Diamonds,Jack-Diamonds,Queen-Spades,0.3,0.7,false
10-Hearts,10-Diamonds,7-Hearts,Jack-Diamonds,King-Spades,0.3,0.7,false
2-Spades,Ace-Spades,5-Clubs,Queen-Hearts,3-Diamonds,0.3,0.7,false
Ace-Clubs,9-Diamonds,10-Diamonds,4-Clubs,Jack-Hearts,0.3,0.7,true
Jack-Hearts,Ace-Hearts,10-Diamonds,King-Hearts,3-Spades,0.9,0.1,true
Queen-Clubs,10-Diamonds,4-Spades,3-Spades,Jack-Clubs,0.3,0.7,false
King-Diamonds,Queen-Hearts,8-Spades,Ace-Clubs,7-Hearts,0.3,0.7,false
King-Clubs,King-Spades,6-Diamonds,10-Diamonds,6-Clubs,0.3,0.7,true
Queen-Diamonds,Jack-Hearts,Ace-Hearts,5-Hearts,Jack-Spades,0.3,0.7,true
Ace-Spades,10-Diamonds,Jack-Clubs,7-Spades,Ace-Clubs,0.3,0.7,false
Queen-Diamonds,Jack-Diamonds,5-Clubs,Ace-Diamonds,6-Clubs,0.3,0.7,false
Queen-Spades,King-Diamonds,King-Clubs,7-Diamonds,8-Clubs,0.3,0.7,true
10-Diamonds,Queen-Spades,Jack-Spades,9-Spades,4-Clubs,0.3,0.7,false
9-Hearts,9-Spades,Ace-Clubs,Jack-Spades,6-Diamonds,0.3,0.7,true
King-Clubs,10-Spades,7-Diamonds,5-Clubs,6-Clubs,0.9,0.1,false
Jack-Hearts,King-Diamonds,5-Clubs,7-Clubs,Queen-Hearts,0.3,0.7,true
Ace-Hearts,10-Spades,Queen-Diamonds,6-Diamonds,King-Clubs,0.3,0.7,true
8-Diamonds,Queen-Diamonds,10-Diamonds,3-Hearts,6-Clubs,0.3,0.7,false
Queen-Spades,10-Diamonds,3-Hearts,6-Spades,4-Spades,0.3,0.7,false
Ace-Clubs,Queen-Spades,3-Clubs,4-Clubs,9-Clubs,0.3,0.7,true
7-Clubs,Jack-Clubs,5-Spades,4-Clubs,10-Spades,0.3,0.7,true
Queen-Hearts,King-Hearts,4-Clubs,2-Clubs,5-Hearts,0.3,0.7,true
Ace-Clubs,3-Clubs,Ace-Hearts,3-Hearts,King-Clubs,0.3,0.7,true
9-Spades,8-Spades,6-Clubs,Jack-Diamonds,5-Hearts,0.9,0.1,true
10-Spades,Ace-Hearts,10-Clubs,5-Hearts,9-Spades,0.9,0.1,true
10-Hearts,Ace-Spades,2-Diamonds,5-Clubs,8-Clubs,0.9,0.1,true
10-Clubs,King-Diamonds,3-Spades,8-Clubs,2-Spades,0.9,0.1,false
9-Diamonds,King-Clubs,Queen-Diamonds,Jack-Spades,3-Clubs,0.3,0.7,true
Jack-Clubs,King-Diamonds,Ace-Hearts,3-Clubs,2-Diamonds,0.3,0.4,0.7,0.2,true
7-Diamonds,2-Diamonds,3-Hearts,King-Clubs,10-Diamonds,0.3,0.4,0.4,0.7,0.5,0.2,false
Ace-Hearts,Ace-Spades,10-Spades,5-Spades,6-Hearts,0.3,0.4,0.7,0.2,true
Ace-Clubs,Ace-Spades,2-Diamonds,8-Hearts,10-Hearts,0.3,0.4,0.7,0.2,true
